,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year,Unit,Value,Flag,Flag Description,Note
139,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1977,1000 No,9659.64,X,Figure from international organizations,nan
140,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1978,1000 No,50701.458,X,Figure from international organizations,nan
141,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1978,1000 No,24774.747,X,Figure from international organizations,nan
142,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1978,1000 No,25926.712,X,Figure from international organizations,nan
143,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1978,1000 No,42092.711,X,Figure from international organizations,nan
144,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1978,1000 No,9922.57,X,Figure from international organizations,nan
145,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1979,1000 No,51831.389,X,Figure from international organizations,nan
146,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1979,1000 No,25295.244,X,Figure from international organizations,nan
147,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1979,1000 No,26536.144,X,Figure from international organizations,nan
148,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1979,1000 No,42974.367,X,Figure from international organizations,nan
149,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1979,1000 No,10195.306,X,Figure from international organizations,nan
150,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1980,1000 No,52968.27,X,Figure from international organizations,nan
151,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1980,1000 No,25814.547,X,Figure from international organizations,nan
152,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1980,1000 No,27153.723,X,Figure from international organizations,nan
153,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1980,1000 No,43907.532,X,Figure from international organizations,nan
154,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1980,1000 No,10464.982,X,Figure from international organizations,nan
155,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1981,1000 No,54280.394,X,Figure from international organizations,nan
156,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1981,1000 No,26457.143,X,Figure from international organizations,nan
157,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1981,1000 No,27823.25,X,Figure from international organizations,nan
158,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1981,1000 No,44886.383,X,Figure from international organizations,nan
159,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1981,1000 No,10741.363,X,Figure from international organizations,nan
160,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1982,1000 No,55632.153,X,Figure from international organizations,nan
161,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1982,1000 No,27119.099,X,Figure from international organizations,nan
162,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1982,1000 No,28513.054,X,Figure from international organizations,nan
163,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1982,1000 No,45902.91,X,Figure from international organizations,nan
164,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1982,1000 No,11028.914,X,Figure from international organizations,nan
165,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1983,1000 No,57011.444,X,Figure from international organizations,nan
166,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1983,1000 No,27793.74,X,Figure from international organizations,nan
167,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1983,1000 No,29217.704,X,Figure from international organizations,nan
168,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1983,1000 No,46951.133,X,Figure from international organizations,nan
169,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1983,1000 No,11326.254,X,Figure from international organizations,nan
170,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1984,1000 No,58406.863,X,Figure from international organizations,nan
171,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1984,1000 No,28477.135,X,Figure from international organizations,nan
172,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1984,1000 No,29929.729,X,Figure from international organizations,nan
173,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1984,1000 No,48021.78,X,Figure from international organizations,nan
174,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1984,1000 No,11631.31,X,Figure from international organizations,nan
175,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1985,1000 No,59811.313,X,Figure from international organizations,nan
176,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1985,1000 No,29166.656,X,Figure from international organizations,nan
177,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1985,1000 No,30644.658,X,Figure from international organizations,nan
178,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1985,1000 No,49107.256,X,Figure from international organizations,nan
179,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1985,1000 No,11942.117,X,Figure from international organizations,nan
180,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1986,1000 No,61221.107,X,Figure from international organizations,nan
181,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1986,1000 No,29857.45,X,Figure from international organizations,nan
182,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1986,1000 No,31363.658,X,Figure from international organizations,nan
183,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1986,1000 No,50201.991,X,Figure from international organizations,nan
184,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1986,1000 No,12257.569,X,Figure from international organizations,nan
185,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1987,1000 No,62630.787,X,Figure from international organizations,nan
186,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1987,1000 No,30547.068,X,Figure from international organizations,nan
187,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1987,1000 No,32083.72,X,Figure from international organizations,nan
188,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1987,1000 No,51304.116,X,Figure from international organizations,nan
189,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1987,1000 No,12577.181,X,Figure from international organizations,nan
190,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1988,1000 No,64037.514,X,Figure from international organizations,nan
191,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1988,1000 No,31237.107,X,Figure from international organizations,nan
192,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1988,1000 No,32800.407,X,Figure from international organizations,nan
