,ma_huyen,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
419-2019,419,2019,140296,,,34690,
420-2019,420,2019,133863,,,34080,
421-2019,421,2019,276174,,,63906,
422-2019,422,2019,74679,,,19270,
423-2019,423,2019,147257,,,37055,
424-2019,424,2019,116674,,,27185,
425-2019,425,2019,312394,,,73435,
426-2019,426,2019,301399,,,72897,
427-2019,427,2019,213171,,,50787,
428-2019,428,2019,240795,,,55058,
429-2019,429,2019,217181,,,53242,
430-2019,430,2019,164449,,,37085,
431-2019,431,2019,124132,,,29312,
432-2019,432,2019,112709,,,27243,
436-2019,436,2019,103479,,,25143,
437-2019,437,2019,38342,,,8708,
439-2019,439,2019,112411,,,23390,
440-2019,440,2019,101523,,,20500,
441-2019,441,2019,28537,,,6028,
442-2019,442,2019,102046,,,23863,
443-2019,443,2019,129052,,,28093,
444-2019,444,2019,99016,,,21062,
445-2019,445,2019,140173,,,30637,
446-2019,446,2019,148958,,,33120,
447-2019,447,2019,121646,,,27945,
448-2019,448,2019,79144,,,16940,
449-2019,449,2019,79085,,,18511,
450-2019,450,2019,132524,,,33903,
452-2019,452,2019,50525,,,12218,
453-2019,453,2019,77754,,,18535,
454-2019,454,2019,110178,,,26712,
455-2019,455,2019,188100,,,46222,
456-2019,456,2019,90134,,,21053,
457-2019,457,2019,137831,,,31447,
458-2019,458,2019,106371,,,26146,
461-2019,461,2019,95270,,,23941,
462-2019,462,2019,22955,,,5245,
464-2019,464,2019,87220,,,18992,
465-2019,465,2019,90629,,,22336,
466-2019,466,2019,75045,,,17361,
467-2019,467,2019,42917,,,10831,
468-2019,468,2019,47740,,,11035,
469-2019,469,2019,88678,,,19238,
470-2019,470,2019,79411,,,16978,
471-2019,471,2019,158,,,47,
474-2019,474,2019,345121,,,94281,
476-2019,476,2019,87676,,,19790,
477-2019,477,2019,77097,,,17722,
478-2019,478,2019,179316,,,44171,
479-2019,479,2019,113395,,,28583,
480-2019,480,2019,114397,,,27989,
481-2019,481,2019,49189,,,13048,
482-2019,482,2019,129616,,,28708,
483-2019,483,2019,24110,,,5993,
490-2019,490,2019,188917,,,55476,
491-2019,491,2019,184189,,,51028,
492-2019,492,2019,199868,,,57384,
493-2019,493,2019,156533,,,43968,
494-2019,494,2019,85552,,,24119,
495-2019,495,2019,159225,,,45205,
497-2019,497,2019,144935,,,37301,
498-2019,498,2019,0,,,0,
502-2019,502,2019,120157,,,31299,
503-2019,503,2019,97435,,,24081,
504-2019,504,2019,19671,,,5403,
505-2019,505,2019,24803,,,6475,
506-2019,506,2019,141777,,,31950,
507-2019,507,2019,226151,,,54723,
508-2019,508,2019,126550,,,29460,
509-2019,509,2019,80775,,,17659,
510-2019,510,2019,25649,,,6562,
511-2019,511,2019,26043,,,6471,
512-2019,512,2019,37076,,,8217,
513-2019,513,2019,173233,,,40148,
514-2019,514,2019,66178,,,14771,
515-2019,515,2019,40864,,,9724,
516-2019,516,2019,30760,,,7664,
517-2019,517,2019,147437,,,35967,
518-2019,518,2019,77005,,,17808,
519-2019,519,2019,26658,,,5963,
522-2019,522,2019,259668,,,62704,
524-2019,524,2019,179255,,,43109,
525-2019,525,2019,32245,,,7720,
527-2019,527,2019,95813,,,22883,
528-2019,528,2019,128164,,,30588,
529-2019,529,2019,78131,,,20604,
530-2019,530,2019,21031,,,5505,
531-2019,531,2019,18636,,,5083,
532-2019,532,2019,82128,,,18254,
533-2019,533,2019,112507,,,25281,
534-2019,534,2019,120579,,,27304,
535-2019,535,2019,59438,,,16079,
536-2019,536,2019,18537,,,4502,
540-2019,540,2019,286291,,,77581,
542-2019,542,2019,27471,,,6997,
543-2019,543,2019,207427,,,48069,
544-2019,544,2019,85449,,,20038,
545-2019,545,2019,161315,,,36619,
546-2019,546,2019,30237,,,7585,
547-2019,547,2019,115872,,,27390,
548-2019,548,2019,183255,,,43844,
549-2019,549,2019,175407,,,42537,
550-2019,550,2019,179628,,,44413,
551-2019,551,2019,27650,,,7431,
555-2019,555,2019,154448,,,40466,
557-2019,557,2019,99264,,,24305,
